new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha,offset_area_ha
"20549",0,0,319.4375,0,80.5625,0
"21199",24.1875,0,339.8125,10.6875,25.3125,0
"21200",88.75,0,163.9375,0,147.3125,0
"21849",31.5625,0,332.5,12.5625,23.375,0
"21850",62.4375,0,337.3125,0,0.25,0
"21851",59.25,0,338.625,0,2.125,0
"21852",53.5625,0,139.625,0,206.8125,0
"22499",47.4375,0,308.6875,0.8125,43.0625,0
"22500",0,0,400,0,0,0
"22501",6.4375,0,389.5625,1.25,2.75,0
"22502",16.6875,0,294.875,0,88.4375,0
"23150",15.5625,0,294.25,0,90.1875,0
"23151",7.6875,1.3125,307.6875,1.5625,81.75,0
"23184",26,0,116.75,0,257.25,0
"23185",190.5625,0,52.75,0,156.6875,0
"23809",78.1875,0,112.25,0,209.5625,0
"23810",36.3125,0,146.0625,0,217.625,0
"23811",16.75,0,239.75,0,143.5,0
"23812",58.9375,0,215.8125,0,125.25,0
"23813",53.375,0,169.9375,0,176.6875,0
"23814",30,0,235.8125,0,134.1875,0
"23815",45.25,0,182.6875,0,172.0625,0
"23833",81.8125,0,221.0625,0,97.125,0
"23834",136.0625,0.75,212.625,0,50.5625,0
"23835",224.125,0,132.1875,0,43.6875,0
"23836",81.4375,13,238.8125,0,66.75,0
"23837",41.9375,0,264.375,0,93.6875,0
"24457",79.5,0,213.625,0,106.875,0
"24458",221,0,170.5625,0,8.4375,0
"24459",73.875,0,275.5,0,50.625,0
"24460",114.125,0,252.5625,3.5625,29.75,0
"24461",0.1875,0,372.5625,1.0625,26.1875,0
"24462",8.3125,0,379.3125,0,12.375,0
"24463",30.5625,0,334.5,0,34.9375,0
"24464",20.5625,0,356.9375,0,22.5,0
"24465",50.0625,0,293.5625,0,56.375,0
"24466",55.75,0,298.4375,0,45.8125,0
"24467",87.6875,0,210.875,0,101.4375,0
"24468",59.1875,0,134.1875,0,206.625,0
"24471",33.3125,0,155.0625,0,211.625,0
"24472",102.9375,0,224.5,0,72.5625,0
"24484",81.4375,0,288.25,3.3125,27,0
"24485",15.9375,16.1875,336.5625,0,31.3125,0
"24486",13.375,56.5625,311.3125,0,18.75,0
"24487",7.4375,0,362,0,30.5625,0
"25107",14.4375,0,356.5,0,29.0625,0
"25108",0.1875,0,391.75,0,8.0625,0
"25110",2.5625,0,362.5625,0,34.875,0
"25111",0,0,390.1875,0,9.8125,0
"25112",0,0,398.0625,0,1.9375,0
"25113",0,0,378.4375,0,21.5625,0
"25114",0,0,299.5,0,100.5,0
"25115",0,0,350.8125,0,49.1875,0
"25116",0,0,396.375,0,3.625,0
"25117",12.875,0,361.5,0,25.625,0
"25118",85.9375,0,264.3125,2.625,47.125,0
"25119",109.6875,0,181.875,0,108.4375,0
"25120",105.625,0,262.8125,0,31.5625,0
"25121",46.9375,0,127.9375,0,225.125,0
"25122",42.75,0,175.5,0,181.75,0
"25123",119,0,51.625,0,229.375,0
"25125",156.8125,0,135.4375,0,107.75,0
"25126",67.8125,0.75,270.0625,0,61.375,0
"25127",92.125,0.3125,184.6875,18.25,104.625,0
"25133",42.375,0,218.625,0,139,0
"25134",25.625,0,336.5,0,37.875,0
"25135",2.0625,36.125,357,0,4.8125,0
"25136",0,190.5,189.75,0,19.75,0
"25757",2.6875,0,343.625,0,53.6875,0
"25758",15.4375,0,353.8125,0,30.75,0
"25760",1.5625,0,360.8125,0,37.625,0
"25761",0,0,352.4375,0,47.5625,0
"25762",0,0,381.6875,0,18.3125,0
"25763",0,0,345.5625,0,54.4375,0
"25764",4.875,0,311.25,0,83.875,0
"25765",0,0,394.625,0,5.375,0
"25766",0,0,400,0,0,0
"25767",0,0,391.375,0,8.625,0
"25768",0,0,289.0625,0,110.9375,0
"25769",0,0,354.9375,0,45.0625,0
"25770",2.75,0,351.75,0,45.5,0
"25771",1.3125,0,245.5,0,153.1875,0
"25772",18.125,0.75,331.1875,0,49.9375,0
"25773",64.9375,0,153.5625,0,181.5,0
"25775",65.75,1.0625,295.75,0,37.4375,0
"25776",9.25,0,327.625,0,63.125,0
"25777",84.1875,0,259.8125,13.9375,42.0625,0
"25778",5.5,0,163.1875,9.6875,221.625,0
"25782",109.875,0,124.6875,0,165.4375,0
"25783",0,0,376.6875,0,23.3125,0
"25784",25,0,363.75,0,11.25,0
"25785",0,30.5625,366.4375,0,3,0
"25786",30.25,88.75,213.4375,0,67.5625,0
"26407",0,0,376.375,0,23.625,0
"26408",0,0,380.5,0,19.5,0
"26409",0,0,217.25,0,182.75,0
"26410",0,0,399.125,0,0.875,0
"26411",0,0,371.3125,0,28.6875,0
"26412",0,0,367.5625,0,32.4375,0
"26414",0,0,356.6875,0,43.3125,0
"26415",0,0,396.375,0,3.625,0
"26416",0,0,400,0,0,0
"26417",0,0,400,0,0,0
"26418",0,0,371.75,0,28.25,0
"26419",0,0,376.3125,0,23.6875,0
"26420",0,0,349,0,51,0
"26421",0,0,364.0625,0,35.9375,0
"26422",0.25,2.8125,285.75,0,111.1875,0
"26424",24.5625,0,325.125,0,50.3125,0
"26425",13.375,0,315,0,71.625,0
"26426",20.0625,0,333.625,0,46.3125,0
"26427",38.5,0,278,0,83.5,0
"26431",62.4375,1.0625,225.875,0,110.625,0
"26432",28.875,0,317.375,0,53.75,0
"26433",0,0,338.625,0,61.375,0
"26434",0,0,400,0,0,0
"26435",0,0,396.5625,0,3.4375,0
"26436",1.375,0,377.8125,0,20.8125,0
"26437",156.1875,0,236.375,0,7.4375,0
"27057",0,0,349,0,51,0
"27060",0,0,171.375,0,228.625,0
"27064",0,0,212.4375,0,187.5625,0
"27065",0,0,343.125,0,56.875,0
"27066",0,0,379.75,0,20.25,0
"27067",0,0,400,0,0,0
"27068",0,0,372.875,0,27.125,0
"27069",1.8125,0,303.25,0,94.9375,0
"27070",0,0,329.5,0,70.5,0
"27074",9,0,312.625,0,78.375,0
"27075",0,0,331.5625,0,68.4375,0
"27076",0.0625,0,337.3125,0,62.625,0
"27077",3.3125,0,273.9375,0,122.75,0
"27080",1.5,0,350.625,0,47.875,0
"27081",3.8125,0,309.125,0,87.0625,0
"27082",7.8125,0,308.9375,0,83.25,0
"27083",0,0,294.25,0,105.75,0
"27084",0,0,370.125,0,29.875,0
"27085",0,0,393.375,0,6.625,0
"27086",8.0625,0,353.9375,0,38,0
"27087",66.3125,0,222.875,0,110.8125,0
"27716",0,0,241,0,159,0
"27717",1.1875,0,389.9375,0,8.875,0
"27718",0,0,314.0625,0,85.9375,0
"27724",0,0,336.875,0,63.125,0
"27726",0,0,330.5625,0,69.4375,0
"27728",55.375,0,204.3125,0,140.3125,0
"27730",0,0,279.5,0,120.5,0
"27731",17.5,0,254.6875,0,127.8125,0
"27733",0,0,265.125,0,134.875,0
"27734",0,0,197.6875,0,202.3125,0
"27735",0,0,309.625,0,90.375,0
"27736",28.5,0,250.75,0,120.75,0
"28367",0,0,188.125,0,211.875,0
